protein,seq_len,has_annotation,all_sites_safe,any_site_at_risk,max_site_pos,is_long,keep,reason
P48736,1102,True,True,False,961.0,True,True,kept
O88554,559,,,,,False,True,kept
P55263,362,,,,,False,True,kept
Q9Y6F1,533,,,,,False,True,kept
Q9UGN5,583,,,,,False,True,kept
Q64640,361,,,,,False,True,kept
Q9H4B4,646,,,,,False,True,kept
P08631,526,,,,,False,True,kept
P43405,635,,,,,False,True,kept
Q06187,659,,,,,False,True,kept
P06239,509,,,,,False,True,kept
P45452,471,,,,,False,True,kept
P11309,313,,,,,False,True,kept
P23687,710,,,,,False,True,kept
P56817,501,,,,,False,True,kept
P49841,420,,,,,False,True,kept
P11362,822,,,,,False,True,kept
P35626,688,,,,,False,True,kept
Q690N0,482,,,,,False,True,kept
P42336,1068,False,,,,True,False,dropped: no UniProt annotation
Q72547,566,,,,,False,True,kept
P43250,576,,,,,False,True,kept
O14757,476,,,,,False,True,kept
P09874,1014,,,,,False,True,kept
P53350,603,,,,,False,True,kept
Q8WTQ7,553,,,,,False,True,kept
Q9NYY3,685,,,,,False,True,kept
Q02750,393,,,,,False,True,kept
O00311,574,,,,,False,True,kept
P25098,689,,,,,False,True,kept
P14902,403,,,,,False,True,kept
Q9H2K2,1166,True,False,True,1092.0,True,False,dropped: binding site beyond 1022 aa
O00329,1044,False,,,,True,False,dropped: no UniProt annotation
Q92731,530,,,,,False,True,kept
O14965,403,,,,,False,True,kept
O75530,441,,,,,False,True,kept
Q9NWZ3,460,,,,,False,True,kept
Q9BJF5,507,,,,,False,True,kept
Q9P1W9,311,,,,,False,True,kept
P32298,578,,,,,False,True,kept
P30291,646,,,,,False,True,kept
Q15119,407,,,,,False,True,kept
Q16654,411,,,,,False,True,kept
Q96GD4,344,,,,,False,True,kept
P49840,483,,,,,False,True,kept
P31389,488,,,,,False,True,kept
P04629,796,,,,,False,True,kept
P12931,536,,,,,False,True,kept
Q92769,488,,,,,False,True,kept
P51449,518,,,,,False,True,kept
P56818,501,,,,,False,True,kept
P18493,1016,,,,,False,True,kept
P18901,446,,,,,False,True,kept
O96017,543,,,,,False,True,kept
P34947,590,,,,,False,True,kept
P07948,512,,,,,False,True,kept
Q13547,482,,,,,False,True,kept
P53779,464,,,,,False,True,kept
Q9AIU7,667,,,,,False,True,kept
P55055,460,,,,,False,True,kept
Q16539,360,,,,,False,True,kept
Q9Y5Z0,518,,,,,False,True,kept
P00523,533,,,,,False,True,kept
Q13470,666,,,,,False,True,kept
Q9Y572,518,,,,,False,True,kept
P03951,625,,,,,False,True,kept
Q9XTA2,710,,,,,False,True,kept
Q86UX6,486,,,,,False,True,kept
P48147,710,,,,,False,True,kept
P00742,488,,,,,False,True,kept
Q15118,436,,,,,False,True,kept
O14744,637,,,,,False,True,kept
